PEJO	-0.010	0.009	2014-07-30
PEJO	-0.010	0.010	2014-08-06
PEJO	-0.011	0.010	2014-08-13
PEJO	-0.010	0.009	2014-08-20
PEJO	-0.010	0.008	2014-08-27
PEJO	-0.010	0.007	2014-09-03
PEJO	-0.010	0.008	2014-09-10
PEJO	-0.010	0.008	2014-09-17
PEJO	-0.008	0.008	2014-09-24
PEJO	-0.007	0.007	2014-10-29
PEJO	-0.005	0.006	2014-11-05
PEJO	-0.004	0.007	2014-11-12
PEJO	-0.003	0.007	2014-11-19
PEJO	-0.003	0.007	2014-11-26
PEJO	-0.003	0.007	2014-12-03
PEJO	-0.003	0.007	2014-12-10
PEJO	-0.004	0.007	2014-12-17
PEJO	-0.003	0.007	2014-12-24
PEJO	-0.004	0.006	2014-12-31
PEJO	-0.003	0.006	2015-01-07
PEJO	-0.003	0.008	2015-01-14
PEJO	-0.004	0.007	2015-01-21
PEJO	-0.004	0.010	2015-02-04
PEJO	-0.005	0.010	2015-02-11
PEJO	-0.004	0.012	2015-02-18
PEJO	-0.003	0.013	2015-02-25
PEJO	-0.004	0.012	2015-03-04
PEJO	-0.004	0.011	2015-03-11
PEJO	-0.005	0.011	2015-03-18
PEJO	-0.007	0.010	2015-03-25
PEJO	-0.007	0.009	2015-04-01
PEJO	-0.007	0.009	2015-04-08
PEJO	-0.008	0.009	2015-04-15
PEJO	-0.006	0.010	2015-04-22
PEJO	-0.006	0.011	2015-04-29
PEJO	-0.005	0.011	2015-05-06
PEJO	-0.005	0.011	2015-05-13
PEJO	-0.005	0.011	2015-05-20
PEJO	-0.005	0.013	2015-05-27
PEJO	-0.005	0.013	2015-06-03
PEJO	-0.007	0.012	2015-06-10
PEJO	-0.006	0.013	2015-06-17
PEJO	-0.008	0.012	2015-06-24
PEJO	-0.007	0.013	2015-07-01
PEJO	-0.007	0.012	2015-07-08
PEJO	-0.008	0.012	2015-07-15
PEJO	-0.008	0.013	2015-07-22
PEJO	-0.009	0.011	2015-07-29
PEJO	-0.009	0.012	2015-08-05
PEJO	-0.008	0.011	2015-08-19
PEJO	-0.008	0.012	2015-08-26
PEJO	-0.007	0.010	2015-09-02
PEJO	-0.007	0.010	2015-09-09
PEJO	-0.007	0.010	2015-09-16
PEJO	-0.006	0.007	2015-09-23
PEJO	-0.006	0.006	2015-09-30
PEJO	-0.006	0.006	2015-10-07
PEJO	-0.006	0.007	2015-10-14
PEJO	-0.005	0.008	2015-10-21
PEJO	-0.005	0.007	2015-10-28
PEJO	-0.003	0.008	2015-11-04
PEJO	-0.004	0.008	2015-11-11
PEJO	-0.004	0.007	2015-11-18
PEJO	-0.003	0.007	2015-11-25
PEJO	-0.002	0.008	2015-12-02
PEJO	-0.004	0.007	2015-12-09
PEJO	-0.003	0.009	2015-12-16
PEJO	-0.003	0.008	2015-12-23
PEJO	-0.001	0.007	2015-12-30
PEJO	-0.002	0.007	2016-01-06
PEJO	-0.000	0.007	2016-01-20
PEJO	-0.001	0.009	2016-02-03
PEJO	-0.002	0.009	2016-02-10
PEJO	-0.004	0.010	2016-02-17
PEJO	-0.004	0.009	2016-02-24
PEJO	-0.002	0.009	2016-03-02
PEJO	-0.002	0.009	2016-03-02
PEJO	-0.003	0.008	2016-03-16
PEJO	-0.003	0.009	2016-03-30
PEJO	-0.003	0.007	2016-04-06
PEJO	-0.001	0.008	2016-04-13
PEJO	-0.002	0.009	2016-04-20
PEJO	-0.001	0.009	2016-04-27
PEJO	-0.002	0.010	2016-05-04
PEJO	-0.003	0.008	2016-05-11
PEJO	-0.004	0.008	2016-05-18
PEJO	-0.005	0.007	2016-05-25
PEJO	-0.004	0.006	2016-06-01
PEJO	-0.004	0.007	2016-06-08
PEJO	-0.005	0.006	2016-06-15
PEJO	-0.005	0.006	2016-06-22
PEJO	-0.005	0.007	2016-06-29
PEJO	-0.005	0.008	2016-07-06
PEJO	-0.005	0.007	2016-07-13
PEJO	-0.005	0.007	2016-07-20
PEJO	-0.006	0.006	2016-07-27
PEJO	-0.005	0.007	2016-08-03
PEJO	-0.005	0.007	2016-08-10
PEJO	-0.006	0.008	2016-08-17
PEJO	-0.006	0.009	2016-08-24
PEJO	-0.006	0.007	2016-08-31
PEJO	-0.007	0.007	2016-09-07
PEJO	-0.006	0.005	2016-09-14
PEJO	-0.005	0.007	2016-09-21
PEJO	-0.006	0.007	2016-09-28
PEJO	-0.005	0.008	2016-10-05
PEJO	-0.006	0.008	2016-10-12
PEJO	-0.005	0.008	2016-10-19
PEJO	-0.005	0.010	2016-10-26
